id,news,url,label,source_domain
1,ကယ်ဆယ်ရေး ဗီဒီယိုဟောင်းတစ်ခုကို လူအသေအပျောက်များခဲ့တဲ့ ငလျင်လှုပ်ခတ်မှုအပြီး နှစ်ပတ်အကြာမှာတွေ့ရတဲ့ ထိုင်းနိုင်ငံက အသက်ရှင်ကျန်ရစ်သူအဖြစ် မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.437H3G2,1,factcheckmyanmar.afp.com
2,ရုရှား၏ Su-34 ဗုံးကြဲတိုက်လေယာဉ်သုံးစင်းကို ပစ်ချခဲ့ကြောင်း...,https://news-eleven.com/article/285974,0,news-eleven.com
3,Pfizer က ကိုဗစ်-၁၉ ကာကွယ်ဆေးရဲ့ ဘေးထွက်ဆိုးကျိုးတွေကို ထုတ်ပြန်ခဲ့တယ်ဆိုတဲ့ မှားယွင်းပြောဆိုမှုပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.378H2T9,1,factcheckmyanmar.afp.com
4,ချီလီနှင့် အာဂျင်တီးနားတို့တွင်...,https://news-eleven.com/article/302460,0,news-eleven.com
5,ဖယ်ခုံမြို့အတွင်း စစ်ကောင်စီတပ်က မြေမြုပ်မိုင်းရှင်းလင်းပြီး မကြာခင်အိမ်ပြန်နိုင်တော့မည်ဟု လိမ်လည်ဝါဒဖြန့်,https://myanmarfactcheckingnetwork.org/2024/11/14/%e1%80%96%e1%80%9a%e1%80%ba%e1%80%81%e1%80%af%e1%80%b6%e1%80%99%e1%80%bc%e1%80%ad%e1%80%af%e1%80%b7%e1%80%a1%e1%80%90%e1%80%bd%e1%80%84%e1%80%ba%e1%80%b8-%e1%80%85%e1%80%85%e1%80%ba%e1%80%80%e1%80%b1/,1,myanmarfactcheckingnetwork.org
6,ထိုင်းနိုင်ငံ 'ကျောင်းကားမီးလောင်မှုရဲ့ နောက်ဆုံးအချိန်' ဆိုပြီး ဆက်စပ်မှုမရှိတဲ့ ဗီဒီယိုတစ်ခု မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36J84G9,1,factcheckmyanmar.afp.com
7,ပုလောမြို့နယ် ကျောက္ကာကျေးရွာ လှေနစ်မြုပ်မှုတွင် ပျောက်ဆုံးသူ ၇၀ ကျော်ရှိကာ အလောင်း ခုနစ်လောင်း ဆယ်ယူရရှိထားပြီး ၁၁ ဦး ဆေးကုသပေးထားရ,https://news-eleven.com/article/296659,0,news-eleven.com
8,ထိုင်းနိုင်ငံက ကယ်ဆယ်ရေးသူရဲကောင်းခွေးကလေးဆိုပြီး ဓာတ်ပုံဟောင်းမှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.38MM2KD,1,factcheckmyanmar.afp.com
9,နိုင်ဂျီးရီးယားနိုင်ငံသားတွေရဲ့ ဆန်အိတ်သယ်ယူနေတဲ့ ဗီဒီယိုဟာ ၂၀၂၄ ဆန္ဒပြပွဲတွေနဲ့ သက်ဆိုင်မှုမရှိ,https://factcheckmyanmar.afp.com/doc.afp.com.36E79GQ,1,factcheckmyanmar.afp.com
10,ပေကျင်းအိုလံပစ်ကို သံတမန်နည်းလမ်းအရ သပိတ်မှောက်သည့် အမေရိကန်ကို...,https://news-eleven.com/article/223453,0,news-eleven.com
