text,label
သူ့ ရဲ့ မျက်လုံး က အရမ်းလှလို့ လူတွေ အားကျတယ်,no
သူ ရဲ့ မျက်နှာ က တော်တော်ကြည့်ရဆိုးတာပဲ,bo
သူ ရဲ့ ခြေထောက် က မဲလိုက်တာ,bo
အဲ့ကောင်လေး ဆံပင်က နီကြောင်ကြောင်ကြီး,bo
သူ့ပခုံး က အနိမ့်အမြင့်မညီဘူး,bo
သူ့လက်ကလည်းညစ်ပတ်လိုက်တာ,bo
သူ့လက်ကအနာတွေကြီးပဲ,bo
ဟိုကောင်လေး မျက်စိ က စောင်းနေတယ် သိလား,bo
ကောင်လေး ရဲ့ ကိုယ်လုံးက မုန်းစရာကြီး,bo
ဂီ့မျက်နှာ က အခုမှပဲ ပြန်ကြည်လာတယ်,no
အရင်ကဆုံးမနဲ့တူတယ်,bo
သူက၀လို့ဘယ်‌ယောက်ျားကယူမှာလဲ,bo
အမ‌ ‌ရေ ပိန်သွားလိုက်တာ,bo
မောင်လေး တစ်နေ့တစ်ခြား၀လာတာ သိလား,bo
လမ်းကူးသွားတဲ့ ကောင်မလေး ‌ခြေထောက်ကကောက်နေတာတွေ့လား,bo
မင်းဇော်မိန်းမက ရုပ်ဆိုးကြီး,bo


လူတွေ ရဲ့ ခြေထောက် က အညို ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
မိန်းကလေး ရဲ့ အရေပြား က လှ ကြောင့် မျက်နှာတောက်နေတယ်,neutral
သူမ ရဲ့ ဆံပင် က လှ ကြောင့် လူတွေအားကျနေကြတယ်,neutral
မင်း ရဲ့ ကိုယ်ပုံစံ က မလှ ကြောင့် မိုက်နေတာပဲ,body_shaming
လူတွေ ရဲ့ နား က စင် ကြောင့် အရမ်း လှတယ်,neutral
ကောင်လေး ရဲ့ အရေပြား က လုံး ဖြစ်နေတာ ကြောင့် အရမ်း မကောင်းဘူး,body_shaming
သူမ ရဲ့ ခြေထောက် က စိုင်း ဖြစ်နေတာ ကြောင့် အရမ်း မကောင်းဘူး,body_shaming
ကောင်လေး ရဲ့ ကိုယ် က ညီညာ ကြောင့် အရမ်း လှတယ်,neutral
မင်း ရဲ့ အရေပြား က ထူ ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
လူတွေ ရဲ့ ကိုယ် က လုံး ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
လူတွေ ရဲ့ ဆံပင် က ပိန် ကြောင့် လူမကြိုက်ဘူး,body_shaming
ကောင်လေး ရဲ့ နား က တောက်ပ ဖြစ်နေတာကြောင့် အရမ်း စင်ကြယ်တယ်,neutral
သူ ရဲ့ ဆံပင် က ကြည် ကြောင့် အရမ်း လှတယ်,neutral
မင်း ရဲ့ မျက်နှာ က စိုင်း ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
သူတို့ ရဲ့ မျက်နှာ က မလှ ဖြစ်နေတာကြောင့် အရမ်း မစင်မကြယ်ဘူး,body_shaming
သူတို့ ရဲ့ မျက်စိ က လုံး ဖြစ်နေတာ မလှဘူး,body_shaming
မင်း ရဲ့ ကိုယ် က အဆင်ပြေ ကြောင့် အားလုံး ဝေဖန်မယ်ထင်တယ်,neutral
မိန်းကလေး ရဲ့ မျက်နှာ က အရမ်းမလှ ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
သူမ ရဲ့ နား က ထူ ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
သူတို့ ရဲ့ မျက်စိ က အညို ဖြစ်နေတာ ကြောင့် အရမ်း မကောင်းဘူး,body_shaming
မင်း ရဲ့ မျက်စိ က အညို ကြောင့် လူမကြိုက်ဘူး,body_shaming
သူတို့ ရဲ့ ခြေထောက် က နူးညံ့ ကြောင့် အဝတ်အစား လှပတယ်,neutral
မိန်းကလေး ရဲ့ အရေပြား က လုံး ဖြစ်နေတာ ကြောင့် လူတွေ ကြည့်နေတယ်,body_shaming
သူ ရဲ့ နား က ညီညာ ဖြစ်နေတာကြောင့် အရမ်း စင်ကြယ်တယ်,neutral
သူ ရဲ့ မျက်စိ က စင် ဖြစ်နေတာကြောင့် အရမ်း စင်ကြယ်တယ်,neutral
ကောင်လေး ရဲ့ ကိုယ်ပုံစံ က လုံး ကြောင့် လူမကြိုက်ဘူး,body_shaming
သူမ ရဲ့ အရေပြား က အဆင်ပြေ ကြောင့် လူတွေအားကျနေကြတယ်,neutral
လူတွေ ရဲ့ ကိုယ်ပုံစံ က လှ ကြောင့် အရမ်း လှတယ်,neutral
ကောင်လေး ရဲ့ ကိုယ်ပုံစံ က လုံး နေတာကြောင့် အဝတ်အစား လှပလို့ မရဘူး,body_shaming
သူတို့ ရဲ့ နား က တောက်ပ ကြောင့် မျက်နှာတောက်နေတယ်,neutral
မင်း ရဲ့ မျက်စိ က ချော ကြောင့် လူတွေအားကျနေကြတယ်,neutral
သူမ ရဲ့ မျက်နှာ က အရမ်းမလှ ဖြစ်နေတာကြောင့် အရမ်း မစင်မကြယ်ဘူး,body_shaming
သူမ ရဲ့ လက် က အညို ဖြစ်နေတာကြောင့် အရမ်း မစင်မကြယ်ဘူး,body_shaming
သူ ရဲ့ ခြေထောက် က စိုင်း ဖြစ်နေတာ မလှဘူး,body_shaming
ကောင်လေး ရဲ့ ဆံပင် က ချော ကြောင့် အရမ်း လှတယ်,neutral
မိန်းကလေး ရဲ့ ဆံပင် က တောက်ပ ကြောင့် မျက်နှာတောက်နေတယ်,neutral
သူ ရဲ့ ကိုယ်ပုံစံ က လှ ကြောင့် အရမ်း လှတယ်,neutral
သူမ ရဲ့ ကိုယ် က ပိန် ကြောင့် မျက်နှာတောက်မယ် မထင်ဘူး,body_shaming
သူ ရဲ့ နား က ကြမ်း ဖြစ်နေတာ ကြောင့် လူတွေ ကြည့်နေတယ်,body_shaming
လူတွေ ရဲ့ မျက်နှာ က စင် ကြောင့် တော်တော် စင်ကြယ်တယ်,neutral
