id,news,url,label
1,အစ္စရေးစစ်သားတွေကို ပြည်သူတွေအားပေးနေတဲ့ ဗီဒီယိုဟာ AI ဖန်တီးမှုသာဖြစ်,https://factcheckmyanmar.afp.com/doc.afp.com.69VR9T3,Fake
2,ဂျပန်ကိုရိုက်ခတ်လာတဲ့ဆူနာမီလှိုင်းတွေဆိုပြီး AI ဗီဒီယို မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.69BM6WE,Fake
3,ဘင်္ဂလားဒေ့ရှ်တိုက်လေယာဥ်ပျက်ကျမှုကဆိုပြီး AI နဲ့ ဖန်တီးထားတဲ့ ရုပ်ပုံတွေ မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.692Z3ZQ,Fake
4,"AI ""ဘိုလီးဗီးယာလွှတ်တော်အဆောက်အအုံပြိုကျမှု"" ဗီဒီယို အွန်လိုင်းပေါ်ပျံ့နှံ့",https://factcheckmyanmar.afp.com/doc.afp.com.66VQ8CR,Fake
5,အစ္စရေးရဲ့ အီရန်ကို တိုက်ခိုက်မှုဆိုပြီး မက္ကဆီကိုဒီဇယ်သိုလှောင်ရုံပေါက်ကွဲမှုဗီဒီယို မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.64DF7ZQ,Fake
6,ဝေလငါးတွေ ရုရှားကမ်းရိုးတန်းမှာ သောင်တင်ခဲ့တဲ့ဗီဒီယိုဟောင်းကို ၂၀၂၅ ငလျင်နဲ့ မှားယွင်းချိတ်ဆက်မျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.69L79KF,Fake
7,အင်ဒိုနီးရှားက စက်လှေမတော်တဆမှုဗီဒီယိုကို မြန်မာနိုင်ငံကဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.69HK463,Fake
8,ဂရင်းလန်နိုင်ငံက ဆူနာမီဗီဒီယိုဟောင်းကို ရုရှားငလျင်အဖြစ် မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.69989NQ,Fake
9,ယူကရိန်းစစ်ပွဲကဗီဒီယိုတွေကို ထိုင်း-ကမ္ဘောဒီးယားတိုက်ပွဲကဆိုပြီး မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.692Z7WE,Fake
10,တောင်အာဖရိကနိုင်ငံကမ်းခြေက ဗီဒီယိုဟောင်းတစ်ခုကို ရုရှားငလျင်ကြီးအဖြစ်မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.68V469H,Fake
11,ရန်ကုန်ပျောက်ကျားသပိတ်ဗီဒီယိုဟောင်းတစ်ခုကို ၂၀၂၅ ဆန္ဒပြပွဲကဆိုပြီးမှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.68HH3G3,Fake
12,ဘင်္ဂလားဒေ့ရှ်အရန်တပ်ဖွဲ့ဝင်တွေအဖမ်းခံရတဲ့ဗီဒီယိုကို AA အဖွဲ့ဝင်တွေဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.68EA8CQ,Fake
13,Ha Long Bay မှာ လူအသေအပျောက်ရှိခဲ့တဲ့ သင်္ဘောနစ်မြုပ်မှုကဆိုပြီး ဗီဒီယိုဟောင်းတစ်ခု မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.686C2NQ,Fake
14,ယခင်ကဗီဒီယိုဟောင်းတွေကို တက္ကဆက်ရေကြီးမှုအဖြစ် လူမှုကွန်ရက်မှာ ကျယ်ကျယ်ပြန့်ပြန့်မျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.67EX8KE,Fake
15,၂၀၂၀ ဘေရွတ်ဆိပ်ကမ်းပေါက်ကွဲမှုကို အီရန်-အစ္စရေး စစ်ပွဲကဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.66ZB2CQ,Fake
