ResNet50_class_1,ResNet50_prob_1,VGGNet16_class_1,VGGNet16_prob_1,InceptionV3_class_1,InceptionV3_prob_1,ConvNeXt_class_1,ConvNeXt_prob_1,EfficientNet_class_1,EfficientNet_prob_1,label
bagel,0.31902757,bagel,0.33718887,bagel,0.35764214,honeycomb,0.113625035,banana,0.471202,banana on rice cakes
sunglasses,0.46360245,mouse,0.8630311,sunglasses,0.61335444,mountain_tent,0.42920324,honeycomb,0.5541353,baseball cap
mushroom,0.3926648,African_crocodile,0.253067,fountain,0.3578916,honeycomb,0.17320982,ringlet,0.6836803,camouflage_butterfly
agama,0.25369304,tailed_frog,0.19380233,tailed_frog,0.57503027,tailed_frog,0.40428972,tailed_frog,0.5476575,camouflage_frog
screw,0.19095923,nail,0.30388692,revolver,0.26540795,revolver,0.47964564,screw,0.29673973,camouflage_gun_revoler
leopard,0.99568105,leopard,0.6746944,leopard,0.97353995,leopard,0.76030344,leopard,0.72884595,camouflage_leopard
plastic_bag,0.3531,sleeping_bag,0.13022928,sleeping_bag,0.5652258,sleeping_bag,0.4439959,tabby,0.34781736,cat_on_bed
sunglasses,0.46767354,muzzle,0.33523816,sunglasses,0.6010408,Irish_setter,0.13589545,golden_retriever,0.6169226,dog wearing sunglasses
Border_terrier,0.7038138,Border_terrier,0.16221255,Border_terrier,0.3185814,beagle,0.4954635,Pomeranian,0.14244369,dog
tusker,0.6305293,tusker,0.665383,tusker,0.44633228,tusker,0.32421693,tusker,0.33138484,elephant_tusker
running_shoe,0.93500304,running_shoe,0.44975057,running_shoe,0.90413743,running_shoe,0.89995044,running_shoe,0.60329646,footwear
fountain,0.98640996,fountain,0.190978,fountain,0.40033937,bubble,0.229714,candle,0.8530281,hammer
goblet,0.6593559,goblet,0.42835435,jellyfish,0.15482664,coffeepot,0.24862163,letter_opener,0.41333237,hand Xray
spider_web,0.7087931,alp,0.78708845,alp,0.9106765,alp,0.6055365,alp,0.647509,helicopter
bubble,0.47253278,bubble,0.4840279,bubble,0.6761476,bubble,0.48564386,paintbrush,0.66900635,horse painting
stretcher,0.93343025,stretcher,0.93128395,stretcher,0.92981863,stretcher,0.7967553,ambulance,0.29847,lego helicopter
brass,0.4278547,pedestal,0.343368,pedestal,0.38695914,pedestal,0.86522865,pedestal,0.6073728,lion statue
lion,0.905838,lion,0.5280016,lion,0.6142548,lion,0.855345,lion,0.72433335,lion
grey_whale,0.18470801,breakwater,0.30719554,mountain_bike,0.14381951,breakwater,0.66154385,mountain_bike,0.40195724,motocross
mountain_bike,0.1412648,web_site,0.085618265,moped,0.16545385,bubble,0.6902086,car_mirror,0.19843556,motorbike
missile,0.4963919,warplane,0.30053997,warplane,0.3850161,wing,0.3110713,wing,0.16761263,palne
little_blue_heron,0.15933181,redshank,0.16681583,red-backed_sandpiper,0.200947,fountain,0.4126154,spoonbill,0.16102216,person holding umberella
pizza,0.9617482,pizza,0.95624065,pizza,0.9688354,potpie,0.30660334,pizza,0.81402117,pizza
pizza,0.9997607,pizza,0.9966505,pizza,0.95479995,pizza,0.8424142,pizza,0.8540907,pizza_closeup
pill_bottle,0.26917306,syringe,0.18560517,loupe,0.45714048,nipple,0.12259841,hook,0.14729051,scissors
jellyfish,0.48712674,hook,0.18164553,jellyfish,0.204332,breastplate,0.47731733,dragonfly,0.20804542,skeleton Xray
analog_clock,0.25526932,analog_clock,0.703434,wall_clock,0.4773514,analog_clock,0.30697358,analog_clock,0.77866954,stopwatch
teddy,0.09462622,dalmatian,0.09515433,tiger,0.17940727,Staffordshire_bullterrier,0.49570972,tiger,0.39973718,stuffed toy tiger
cab,0.53688556,cab,0.5872581,cab,0.9471875,racer,0.12415798,cab,0.779236,taxi
tiger,0.93818355,tiger,0.6061394,tiger,0.58806115,snow_leopard,0.7822385,tiger,0.718692,tiger
garbage_truck,0.6156246,garbage_truck,0.87812537,garbage_truck,0.6235156,pickup,0.32400793,pickup,0.27990136,truck_cart
drumstick,0.842258,vacuum,0.120803505,violin,0.474079,violin,0.8799199,violin,0.8188964,violin
goblet,0.98765975,goblet,0.53271395,goblet,0.9121199,goblet,0.83340704,goblet,0.80891526,wineglass_with_flower
0.454545455,,0.454545455,,0.575757576,,0.424242424,,0.606060606,,
